Season,Tm,G_RHP,PA_RHP,AB_RHP,H_RHP,1B_RHP,2B_RHP,3B_RHP,HR_RHP,R_RHP,RBI_RHP,BB_RHP,IBB_RHP,SO_RHP,HBP_RHP,SF_RHP,SH_RHP,GDP_RHP,SB_RHP,CS_RHP,AVG_RHP
2022,LAA,1488,4134,3753,888,570,160,22,136,451,437,309,23,1103,42,15,14,61,63,22,0.23661071
2022,BAL,1500,4339,3888,936,584,210,17,125,520,492,338,8,959,59,38,11,72,75,23,0.24074074
2022,BOS,1500,4597,4161,1062,676,263,9,114,524,504,338,18,1003,49,39,9,101,46,15,0.25522711
2022,CHW,1529,4780,4399,1106,786,204,7,109,519,496,275,5,998,63,29,14,92,50,9,0.25142078
2022,CLE,1522,4584,4134,1069,731,209,28,101,543,515,339,26,795,57,39,15,77,92,18,0.25858732
2022,DET,1495,4338,3973,869,608,158,21,82,382,360,279,3,1073,50,29,7,78,40,22,0.2187264
2022,KCR,1494,4440,4029,968,668,172,25,103,448,430,336,4,973,30,31,13,74,91,25,0.24025813
2022,MIN,1517,4392,3937,986,652,191,12,131,516,494,373,8,978,45,31,5,92,25,13,0.2504445
2022,NYY,1508,4623,4071,980,621,167,5,187,592,559,458,25,1041,53,32,7,88,90,27,0.24072709
2022,OAK,1503,4331,3933,843,549,180,12,102,401,382,316,5,1044,43,21,16,86,60,14,0.2143402
2022,SEA,1523,4338,3835,877,560,158,12,147,481,467,406,10,987,61,29,6,82,57,18,0.22868318
2022,TBR,1518,4580,4114,962,619,222,13,108,497,472,386,9,1099,47,26,6,67,73,31,0.23383568
2022,TEX,1487,4219,3846,906,617,149,14,126,481,451,310,9,1029,27,29,7,58,90,23,0.23556942
2022,TOR,1528,4919,4443,1180,765,247,10,158,619,603,391,6,996,44,27,7,112,60,29,0.26558632
2022,ARI,1513,4336,3824,885,548,186,17,134,521,492,402,10,949,45,41,24,62,83,22,0.23143305
2022,ATL,1448,4444,4045,1006,604,207,5,190,581,560,317,10,1116,54,28,0,69,64,24,0.2487021
2022,CHC,1515,4570,4082,979,646,197,21,115,498,471,389,12,1089,61,27,10,94,87,29,0.23983341
2022,CIN,1507,4379,3956,913,622,162,15,114,470,444,321,6,1044,60,28,8,99,43,23,0.23078868
2022,COL,1431,4141,3747,917,631,173,17,96,432,414,317,5,933,43,25,8,93,32,17,0.24472912
2022,MIA,1544,4633,4200,992,661,196,20,115,472,445,344,2,1065,54,29,1,101,99,24,0.23619048
2022,HOU,1462,4205,3754,909,570,186,11,142,495,478,366,17,858,47,30,5,87,66,15,0.24214172
2022,LAD,1468,4509,3973,1027,614,235,23,155,612,585,450,15,976,41,41,2,66,81,15,0.25849484
2022,MIL,1506,4413,3913,937,565,188,13,171,560,547,415,21,1024,49,29,7,88,79,19,0.23945822
2022,WSN,1421,4051,3677,921,643,170,11,97,393,379,294,9,824,41,24,11,93,56,18,0.25047593
2022,NYM,1479,4276,3803,1008,679,189,21,119,547,528,346,17,840,80,33,13,85,50,14,0.2650539
2022,PHI,1468,4328,3941,979,641,164,18,156,540,521,322,12,964,34,29,2,80,80,22,0.24841411
2022,PIT,1453,4034,3616,809,535,150,21,103,405,377,347,9,1002,36,24,11,60,71,26,0.22372788
2022,STL,1540,4802,4295,1070,692,220,14,144,583,556,405,6,955,61,36,4,84,73,21,0.24912689
2022,SDP,1487,4308,3809,910,593,202,10,105,500,483,408,18,946,44,32,10,65,33,13,0.23890785
2022,SFG,1571,4184,3682,855,544,184,13,114,468,441,401,10,983,62,37,3,78,44,10,0.23221076
